aidoc_iri,ref_iri,buckets,llm_relation,curator,vote,decision,note
https://w3id.org/aidoc-ap#AIActivity,http://www.w3.org/ns/prov#Activity,prov-o,skos:exactMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIActivity,http://www.w3.org/ns/prov#Activity,prov-o,skos:exactMatch,SN,skos:broadMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIActivity,http://www.w3.org/ns/prov#Activity,prov-o,skos:exactMatch,TD,skos:broadMatch,modify,skos:broadMatch
https://w3id.org/aidoc-ap#AIActivity,http://www.w3.org/ns/prov-o#Activity,mex-core+mex-perf,skos:exactMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIActivity,http://www.w3.org/ns/prov-o#Activity,mex-core+mex-perf,skos:exactMatch,SN,skos:exactMatch,accept,skos:broadMatch
https://w3id.org/aidoc-ap#AIActivity,http://www.w3.org/ns/prov-o#Activity,mex-core+mex-perf,skos:exactMatch,TD,skos:broadMatch,modify,skos:broadMatch
https://w3id.org/aidoc-ap#AIAgent,http://www.w3.org/ns/prov#Agent,prov-o+rains,skos:closeMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIAgent,http://www.w3.org/ns/prov#Agent,prov-o+rains,skos:closeMatch,SN,skos:broadMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIAgent,http://www.w3.org/ns/prov#Agent,prov-o+rains,skos:closeMatch,TD,skos:closeMatch,accept,skos:broadMatch
https://w3id.org/aidoc-ap#AIAgent,http://www.w3.org/ns/prov-o#Agent,mex-core,skos:exactMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIAgent,http://www.w3.org/ns/prov-o#Agent,mex-core,skos:exactMatch,SN,skos:broadMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIAgent,http://www.w3.org/ns/prov-o#Agent,mex-core,skos:exactMatch,TD,skos:broadMatch,modify,skos:broadMatch
https://w3id.org/aidoc-ap#AIAgent,http://xmlns.com/foaf/0.1/Agent,mcro+ml-onto,skos:closeMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIAgent,http://xmlns.com/foaf/0.1/Agent,mcro+ml-onto,skos:closeMatch,SN,skos:broadMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIAgent,http://xmlns.com/foaf/0.1/Agent,mcro+ml-onto,skos:closeMatch,TD,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/dpv#Agent,dpv,skos:closeMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/dpv#Agent,dpv,skos:closeMatch,SN,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/dpv#Agent,dpv,skos:closeMatch,TD,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/dpv/ai#AIAgent,dpv-ai,skos:exactMatch,FK,skos:closeMatch,modify,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/dpv/ai#AIAgent,dpv-ai,skos:exactMatch,SN,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/dpv/ai#AIAgent,dpv-ai,skos:exactMatch,TD,REJECT,reject,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/ep-plan#Agent,rains,skos:closeMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/ep-plan#Agent,rains,skos:closeMatch,SN,skos:broadMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIAgent,https://w3id.org/ep-plan#Agent,rains,skos:closeMatch,TD,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/airo#AIDeployer,airo,skos:exactMatch,FK,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/airo#AIDeployer,airo,skos:exactMatch,SN,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/airo#AIDeployer,airo,skos:exactMatch,TD,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/dpv/legal/eu/aiact#AIDeployer,dpv-aiact,skos:exactMatch,FK,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/dpv/legal/eu/aiact#AIDeployer,dpv-aiact,skos:exactMatch,SN,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/dpv/legal/eu/aiact#AIDeployer,dpv-aiact,skos:exactMatch,TD,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/dpv/tech#Deployer,dpv-tech,skos:closeMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/dpv/tech#Deployer,dpv-tech,skos:closeMatch,SN,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIDeployer,https://w3id.org/dpv/tech#Deployer,dpv-tech,skos:closeMatch,TD,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,http://mex.aksw.org/mex-core#Model,mex-core,skos:closeMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIModel,http://mex.aksw.org/mex-core#Model,mex-core,skos:closeMatch,SN,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,http://mex.aksw.org/mex-core#Model,mex-core,skos:closeMatch,TD,REJECT,reject,
https://w3id.org/aidoc-ap#AIModel,http://www.w3.org/ns/mls#Model,ml-onto+mlschema+rains,skos:closeMatch,FK,skos:narrowMatch,modify,
https://w3id.org/aidoc-ap#AIModel,http://www.w3.org/ns/mls#Model,ml-onto+mlschema+rains,skos:closeMatch,SN,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,http://www.w3.org/ns/mls#Model,ml-onto+mlschema+rains,skos:closeMatch,TD,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/airo#AIModel,airo,skos:exactMatch,FK,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/airo#AIModel,airo,skos:exactMatch,SN,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/airo#AIModel,airo,skos:exactMatch,TD,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/ai#GPAIModel,fn-band/dpv-ai,skos:closeMatch,FK,skos:narrowMatch,modify,"aidoc describes a computational representation that enables an AI method to execute an AI task, while dpv-ai describes a model that displays generality in terms of capabilities and potential applications according to the EU AI Act"
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/ai#GPAIModel,fn-band/dpv-ai,skos:closeMatch,SN,skos:narrowMatch,modify,skos:broadMatch
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/ai#GPAIModel,fn-band/dpv-ai,skos:closeMatch,TD,skos:narrowMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/ai#Model,dpv-ai,skos:closeMatch,FK,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/ai#Model,dpv-ai,skos:closeMatch,SN,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/ai#Model,dpv-ai,skos:closeMatch,TD,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/legal/eu/aiact#GPAIModel,fn-band/dpv-aiact,skos:closeMatch,FK,skos:narrowMatch,modify,"aidoc describes a computational representation that enables an AI method to execute an AI task, while dpv-ai describes a model that displays generality in terms of capabilities and potential applications according to the EU AI Act"
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/legal/eu/aiact#GPAIModel,fn-band/dpv-aiact,skos:closeMatch,SN,skos:narrowMatch,modify,skos:broadMatch
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/legal/eu/aiact#GPAIModel,fn-band/dpv-aiact,skos:closeMatch,TD,skos:narrowMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/tech#Model,dpv-tech,skos:closeMatch,FK,skos:broadMatch,modify,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/tech#Model,dpv-tech,skos:closeMatch,SN,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/dpv/tech#Model,dpv-tech,skos:closeMatch,TD,REJECT,reject,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/vair#Model,vair,skos:closeMatch,FK,skos:relatedMatch,modify,"aidoc describes a concrete AI/ML model while vair describes not only a model, but also a system, entity, phenomenon, process or data"
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/vair#Model,vair,skos:closeMatch,SN,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/vair#Model,vair,skos:closeMatch,TD,skos:broadMatch,modify,skos:broadMatch
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/vair#TrainedModel,fn-band/vair,skos:closeMatch,FK,skos:narrowMatch,modify,
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/vair#TrainedModel,fn-band/vair,skos:closeMatch,SN,skos:narrowMatch,modify,skos:broadMatch
https://w3id.org/aidoc-ap#AIModel,https://w3id.org/vair#TrainedModel,fn-band/vair,skos:closeMatch,TD,skos:narrowMatch,modify,skos:narrowMatch
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/airo#AIProvider,airo,skos:exactMatch,FK,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/airo#AIProvider,airo,skos:exactMatch,SN,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/airo#AIProvider,airo,skos:exactMatch,TD,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/dpv/legal/eu/aiact#AIProvider,dpv-aiact,skos:exactMatch,FK,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/dpv/legal/eu/aiact#AIProvider,dpv-aiact,skos:exactMatch,SN,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/dpv/legal/eu/aiact#AIProvider,dpv-aiact,skos:exactMatch,TD,skos:exactMatch,accept,
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/dpv/legal/eu/aiact#DownstreamAIProvider,dpv-aiact,skos:closeMatch,FK,skos:closeMatch,accept,
https://w3id.org/aidoc-ap#AIProvider,https://w3id.org/dpv/legal/eu/aiact#DownstreamAIProvider,dpv-aiact,skos:closeMatch,SN,skos:narrowMatch,modify,skos:narrowMatch
