requirement_id,label,description,competency_questions,expert_score
req1,General description of the AI system,"A general description of the AI system including its intended purpose, the name of the provider and the version of the system reflecting its relation to previous versions.",What is the intended purpose of the AI system? | What is the name of the provider? | What is the version of the system and its relation to previous versions?,
req2,Interaction with hardware/software,"How the AI system interacts with, or can be used to interact with, hardware or software, including with other AI systems, that are not part of the AI system itself, where applicable.",What components or other systems does it depend on?,
req5,Hardware required,The description of the hardware on which the AI system is intended to run.,What hardware does the AI system need to run?,
req8,Elements of system and development process,"The methods and steps performed for the development of the AI system, including, where relevant, recourse to pre-trained systems or tools provided by third parties and how those were used, integrated or modified by the provider.",What are the components and steps of development?,
req10,System architecture,"The description of the system architecture explaining how software components build on or feed into each other and integrate into the overall processing; the computational resources used to develop, train, test and validate the AI system.","How do software components feed into each other and into the overall processing pipeline? | What is the architecture and what algorithms are used? | Which computational resources are used for development, training, testing and validation? | Which software components make up the system and how are they connected?",
req12,Assessment of human oversight measures,"Assessment of the human oversight measures needed in accordance with Article 14, including an assessment of the technical measures needed to facilitate the interpretation of the outputs of AI systems by the deployers, in accordance with Article 13(3), point (d).",What human oversight measures are needed in accordance with Article 14? | What technical measures are needed to facilitate the interpretation of the outputs by deployers?,
req13,Pre-determined changes to the AI system,"Where applicable, a detailed description of pre-determined changes to the AI system and its performance, together with all the relevant information related to the technical solutions adopted to ensure continuous compliance of the AI system with the relevant requirements set out in Chapter III, Section 2.",What are the pre-determined changes to the AI system and its performance? | What technical solutions are adopted to ensure continuous compliance?,
req16,"Monitoring, functioning and control","Detailed information about the monitoring, functioning and control of the AI system, in particular with regard to: its capabilities and limitations in performance, including the degrees of accuracy for specific persons or groups of persons on which the system is intended to be used and the overall expected level of accuracy in relation to its intended purpose; the foreseeable unintended outcomes and sources of risks to health and safety, fundamental rights and discrimination in view of the intended purpose of the AI system; the human oversight measures needed in accordance with Article 14, including the technical measures put in place to facilitate the interpretation of the outputs of AI systems by the deployers; specifications on input data, as appropriate.","What are the capabilities and limitations in performance, including degrees of accuracy for specific persons or groups? | What are the foreseeable unintended outcomes and sources of risks to health and safety, fundamental rights and discrimination? | What human oversight measures and technical measures for output interpretation are needed?",
req17,Appropriateness of performance metrics,A description of the appropriateness of the performance metrics for the specific AI system.,What is the description of the appropriateness of the performance metrics for the specific AI system?,
req19,Changes to the AI system throughout its lifecycle,A description of relevant changes made by the provider to the system through its lifecycle.,What changes have been made to the system through its lifecycle?,
